camaraindustriales;cargo;categoria_producto;categoria_proveedor;compras_para_evento_externo;consumo_historico_producto;consumo_para_evento_externo;departamento;empleado;empleadocargohistorial;facturas_orden;inventario;metricas_producto_mensual;notificaciones;orden_solicitud;ordencompra;ordencompra_detalle;ordenes_consolidadas;producto;productos_no_recibidos;productos_rezagados;proveedor;proveedor_categoria;rendimiento_proveedor;solicitudcompra;solicitudcompra_detalle;user_presences;user_profile
id;id;id;id;id;id;id;id;id;id;id;id;id;id;ordencompra_id;id;id;id;id;id;id;id;proveedor_id;id;id;id;id;id
nombre;nombre;nombre;nombre;evento_id_externo;producto_id;evento_id_externo;nombre;cedula;empleado_id;orden_compra_id;producto_id;producto_id;user_id;solicitud_id;solicitud_compra_id;orden_compra_id;proveedor_id;descripcion;orden_compra_id;orden_compra_id;nombre;categoria_id;proveedor_id;descripcion;solicitud_compra_id;user_id;empleado_id
direccion;departamento_id;created_at;created_at;orden_compra_id;cantidad_consumida;nombre_evento_externo;created_at;nombre;cargo_id;numero_factura;ubicacion;mes;title;created_at;proveedor_id;producto_id;productos;categoria_id;producto_id;producto_id;direccion;created_at;orden_compra_id;fecha_solicitud;producto_id;created_at;departamento_id
web;created_at;updated_at;updated_at;descripcion_motivo;fecha_consumo;fecha_evento;updated_at;apellido;fecha_inicio;fecha_recepcion;fecha_actualizacion;cantidad_solicitada_total;description;updated_at;fecha_orden;cantidad;estado;stock_minimo;cantidad_faltante;cantidad;rif;updated_at;fecha_evaluacion;estado;cantidad;;rol
correo;updated_at;;;created_at;departamento_id;producto_id;;cargo_actual_id;fecha_fin;documento_factura;existencias;cantidad_comprada_total;created_at;;estado;precio_unitario;fecha_creacion;stock_maximo;motivo;motivo;telefono;;tiempo_entrega_estimado_dias;empleado_id;descripcion_producto_personalizado;;created_at
telefonos;;;;updated_at;solicitud_detalle_id;cantidad_consumida;;firma;created_at;total_recepcionado;created_at;gasto_total_producto;read;;precio_unitario;monto_total;solicitudes;unidad_medida;created_at;solicitud_id;correo;;tiempo_entrega_real_dias;departamento_id;created_at;;updated_at
rif;;;;;;orden_detalle_id;departamento_solicitante_id;;departamento_id;updated_at;created_at;updated_at;numero_solicitudes;type;;sub_total;created_at;created_at;codigo_interno;updated_at;created_at;pagina_web;;calidad_producto_evaluacion;created_at;updated_at;;
created_at;;;;;;tipo_consumo;notas;;estado;;;numero_ordenes;updated_at;;iva;updated_at;updated_at;created_at;;;tiempo_entrega_promedio_dias;;cumplimiento_pedido_evaluacion;updated_at;;;
updated_at;;;;;;evento_id_externo;organizer_type_externo;;created_at;;;;created_at;;ret_iva;;;;updated_at;;;calificacion_promedio;;precio_competitividad_evaluacion;;;;
;;;;;;descripcion_adicional;organizer_id_externo;;updated_at;;;;updated_at;;neto_a_pagar;;;;;;;;estado;;comunicacion_evaluacion;;;;
;;;;;;created_at;location_externo;;;;;;;;unidad;;;;;;;;created_at;;observaciones;;;;
;;;;;;updated_at;costo_estimado_consumo;;;;;;;;observaciones;;;;;;;;updated_at;;created_at;;;;
;;;;;;;created_at;;;;;;;;empleado_id;;;;;;;;tipo_contribuyente;;updated_at;;;;
;;;;;;;updated_at;;;;;;;;changed_by;;;;;;;;porcentaje_retencion_iva;;;;;;
;;;;;;;;;;;;;;;fecha_modificacion;;;;;;;;;;;;;
;;;;;;;;;;;;;;;retencion_porcentaje;;;;;;;;;;;;;
;;;;;;;;;;;;;;;created_at;;;;;;;;;;;;;
;;;;;;;;;;;;;;;updated_at;;;;;;;;;;;;;
;;;;;;;;;;;;;;;fecha_entrega_estimada;;;;;;;;;;;;;
;;;;;;;;;;;;;;;fecha_entrega_real;;;;;;;;;;;;;
```

---

